, estacion,code_merge,codigo,freez,hum,lev_max,lev_mid,lev_min,merge_cod,month,rain,rain_1mm,rain_cum,rain_max_10,rain_max_day,sun,temp_avg,temp_max_abs,temp_max_avg,temp_min_abs,wind_avg,wind_max,wind_max_avg,year
98,Albaina,C0A4_Albaina_2017_ENE,C0A4,0.9486965076651152,78.00210553891937,0.8989079491701149,0.3694096895373169,0.19375835895608995,C0A4_Albaina_2017_ENE,ENE,15.81571771896769,11.57979830942257,107.66785891992177,3.1648348951630836,25.971838223131904,12.523187410751234,13.058210894301263,26.286542741389287,18.12567895968298,8.551259882292971,10.850284207812336,74.898141424968,40.13447885888255,2017
125,Tobillas,C00B_Tobillas_2017_ENE,C00B,0.9486965076651152,78.00210553891937,0.8989079491701149,0.3694096895373169,0.19375835895608995,C00B_Tobillas_2017_ENE,ENE,15.81571771896769,11.57979830942257,107.66785891992177,3.1648348951630836,25.971838223131904,12.523187410751234,13.058210894301263,26.286542741389287,18.12567895968298,8.551259882292971,10.850284207812336,74.898141424968,40.13447885888255,2017
144,Galdakao,C009_Galdakao_2017_ENE,C009,0.9486965076651152,78.00210553891937,0.8989079491701149,0.3694096895373169,0.19375835895608995,C009_Galdakao_2017_ENE,ENE,15.81571771896769,11.57979830942257,107.66785891992177,3.1648348951630836,25.971838223131904,12.523187410751234,13.058210894301263,26.286542741389287,18.12567895968298,8.551259882292971,10.850284207812336,74.898141424968,40.13447885888255,2017
184,Eskas,C0F1_Eskas_2017_ENE,C0F1,0.9486965076651152,78.00210553891937,0.8989079491701149,0.3694096895373169,0.19375835895608995,C0F1_Eskas_2017_ENE,ENE,15.81571771896769,11.57979830942257,107.66785891992177,3.1648348951630836,25.971838223131904,12.523187410751234,13.058210894301263,26.286542741389287,18.12567895968298,8.551259882292971,10.850284207812336,74.898141424968,40.13447885888255,2017
507,Albaina,C0A4_Albaina_2017_FEB,C0A4,0.5387549976477477,74.99058834124355,0.8847613603267168,0.3469080404504782,0.19298430684233367,C0A4_Albaina_2017_FEB,FEB,14.21211617500864,10.867724858571469,112.38075037348975,3.226162714467016,29.346236831932767,12.519769151525198,13.126586715483715,26.480840210416968,18.119509661151078,8.56816359688733,10.572753419163723,74.20439332503945,40.10789518771942,2017
534,Tobillas,C00B_Tobillas_2017_FEB,C00B,0.5387549976477477,74.99058834124355,0.8847613603267168,0.3469080404504782,0.19298430684233367,C00B_Tobillas_2017_FEB,FEB,14.21211617500864,10.867724858571469,112.38075037348975,3.226162714467016,29.346236831932767,12.519769151525198,13.126586715483715,26.480840210416968,18.119509661151078,8.56816359688733,10.572753419163723,74.20439332503945,40.10789518771942,2017
553,Galdakao,C009_Galdakao_2017_FEB,C009,0.5387549976477477,74.99058834124355,0.8847613603267168,0.3469080404504782,0.19298430684233367,C009_Galdakao_2017_FEB,FEB,14.21211617500864,10.867724858571469,112.38075037348975,3.226162714467016,29.346236831932767,12.519769151525198,13.126586715483715,26.480840210416968,18.119509661151078,8.56816359688733,10.572753419163723,74.20439332503945,40.10789518771942,2017
593,Eskas,C0F1_Eskas_2017_FEB,C0F1,0.5387549976477477,74.99058834124355,0.8847613603267168,0.3469080404504782,0.19298430684233367,C0F1_Eskas_2017_FEB,FEB,14.21211617500864,10.867724858571469,112.38075037348975,3.226162714467016,29.346236831932767,12.519769151525198,13.126586715483715,26.480840210416968,18.119509661151078,8.56816359688733,10.572753419163723,74.20439332503945,40.10789518771942,2017
943,Tobillas,C00B_Tobillas_2017_MAR,C00B,0.42966420723507825,72.94047264305627,0.9068999432197964,0.3496602562758889,0.19404413521385996,C00B_Tobillas_2017_MAR,MAR,15.21872893109652,11.264478863586428,111.32026646450886,3.3196502880884458,28.638599830305708,12.509358950857175,13.10870986625526,26.475203713141983,18.132169931361105,8.54702722056806,10.369483401309854,73.75349918719623,40.10643837354183,2017
962,Galdakao,C009_Galdakao_2017_MAR,C009,0.42966420723507825,72.94047264305627,0.9068999432197964,0.3496602562758889,0.19404413521385996,C009_Galdakao_2017_MAR,MAR,15.21872893109652,11.264478863586428,111.32026646450886,3.3196502880884458,28.638599830305708,12.509358950857175,13.10870986625526,26.475203713141983,18.132169931361105,8.54702722056806,10.369483401309854,73.75349918719623,40.10643837354183,2017
