year_x,municip_name,species,municip_code,year_offset,waspbust_id,colonies_amount,food_fruit,food_apple,food_txakoli,food_kiwi,food_pear,food_blueberry,food_raspberry,station_code,freez,hum,lev_max,lev_mid,lev_min,rain,rain_1mm,rain_cum,rain_max_10,rain_max_day,sun,temp_avg,temp_max_abs,temp_max_avg,temp_min_abs,wind_avg,wind_max,wind_max_avg,population
2018,Abadiño,AVISPA ASIÁTICA,48001.0,2017,54,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B7,2.0,78.05833333333334,1.114,0.22049999999999995,0.1453810753946167,14.666666666666664,10.833333333333336,117.74166666666667,9.6,63.1,12.52904154880209,13.283333333333333,38.4,26.1,0.8,10.868513597081687,82.1023356825024,40.190008039791934,7.5329999999999995
2018,Abanto y Ciérvana-Abanto Zierbena,AVISPA ASIÁTICA,48002.0,2017,92,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C061,0.8333333333333334,83.03333333333333,1.1013343254950465,0.3453929325952571,0.1766345181487057,14.666666666666664,11.083333333333336,114.88333333333334,6.6,74.9,11.183333333333332,13.433333333333335,34.1,23.6,2.9,11.54166666666667,142.9,59.4,9.545
2018,Ajangiz,AVISPA ASIÁTICA,48911.0,2017,19,0.0,17.0,1.0,3.0,15.0,0.0,0.0,0.0,C063,2.083333333333333,80.775,1.484,0.21658333333333332,0.1410587433502921,14.416666666666664,10.833333333333336,114.78333333333336,9.7,47.0,12.526742878641189,14.033333333333333,37.8,25.6,2.0,11.073450253944431,80.26314820906147,40.287502212086785,482.0
2018,Alonsotegi,AVISPA ASIÁTICA,48912.0,2017,26,200.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,C0C4,1.0075710770553412,80.0185091069202,1.669,0.35975,0.1842255125798602,15.18199863407346,11.221666347426405,110.58534650660931,3.4289565208195545,29.828186386866108,12.544779780343195,12.969818421807046,26.72288121192382,18.224141141235187,8.39614702359015,11.086671896789058,74.898141424968,40.18360993341509,2.903
2018,Amorebieta-Etxano,AVISPA ASIÁTICA,48003.0,2017,125,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,1.5833333333333333,80.8,2.734,0.4208333333333333,0.1753487771888412,13.916666666666664,10.75,116.625,5.5,54.2,12.534819982429989,13.575,38.4,25.4,0.6,11.087579107134554,80.84788955806114,40.27864096407943,19.14
2018,Amoroto,AVISPA ASIÁTICA,48004.0,2017,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0BA,0.75,83.71666666666667,2.32,0.24116666666666664,0.1576278079182824,14.166666666666664,10.666666666666666,113.22500000000002,8.8,46.0,12.561790687042329,14.133333333333333,37.0,24.4,2.8,11.453443645292927,79.74821822079434,40.30916617186383,419.0
2018,Arakaldo,AVISPA ASIÁTICA,48005.0,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C032,1.8333333333333333,78.2577605874922,1.4509999999999998,0.2826666666666666,0.1859081742575672,13.416666666666664,10.083333333333334,96.575,10.2,55.3,12.574843363785494,13.316666666666665,37.3,25.8,1.5,4.7371309520260505,63.7,35.3,156.0
2018,Arantzazu,AVISPA ASIÁTICA,48006.0,2017,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C033,1.4166666666666667,79.825,1.1147954533980449,0.338103956052167,0.1803443468414604,14.75,11.25,116.94166666666666,4.8,88.2,11.983333333333333,14.324999999999998,37.1,26.3,2.0,7.539592788634075,100.8,43.6,393.0
2018,Areatza,AVISPA ASIÁTICA,48093.0,2017,9,35.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,C033,1.4166666666666667,79.825,1.1147954533980449,0.338103956052167,0.1803443468414604,14.75,11.25,116.94166666666666,4.8,88.2,11.983333333333333,14.324999999999998,37.1,26.3,2.0,7.539592788634075,100.8,43.6,1.212
2018,Arrankudiaga,AVISPA ASIÁTICA,48009.0,2017,43,0.0,275.0,50.0,63.0,19.0,4.0,3.0,0.0,C032,1.8333333333333333,78.2577605874922,1.4509999999999998,0.2826666666666666,0.1859081742575672,13.416666666666664,10.083333333333334,96.575,10.2,55.3,12.574843363785494,13.316666666666665,37.3,25.8,1.5,4.7371309520260505,63.7,35.3,970.0
2018,Arratzu,AVISPA ASIÁTICA,48914.0,2017,13,0.0,24.0,1.0,3.0,44.0,0.0,0.0,0.0,C002,1.3333333333333333,77.94166666666666,1.1809124812701133,0.34782254578783456,0.184736530859445,14.083333333333336,10.5,105.53333333333336,9.8,39.9,11.958333333333336,14.425,37.2,25.8,2.5,4.775,95.8,39.7,418.0
2018,Arrieta,AVISPA ASIÁTICA,48010.0,2017,17,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,C057,1.25,85.39999999999998,5.122999999999998,0.6380833333333334,0.1821204107642849,14.416666666666664,11.333333333333336,113.33333333333331,4.3,45.1,12.225,15.199999999999996,38.1,26.9,3.1,7.1083333333333325,91.8,44.2,567.0
2018,Arrigorriaga,AVISPA ASIÁTICA,48011.0,2017,19,0.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,C037,1.0833333333333333,80.34166666666665,1.0646897255044552,0.33799354804693155,0.1852049881979244,15.0,10.75,121.75833333333333,6.8,93.6,12.183333333333335,13.841666666666665,36.6,25.4,2.2,9.058333333333334,129.2,48.5,12.23
